feature,p_val,A,fdr,signi
CHRM2,4.73872163773973e-80,2.417582181752435,2.369360818869865e-76,True
PPFIA2,2.9863961884304107e-84,2.4162296441152296,1.4931980942152054e-80,True
AFF2,5.293981118898477e-63,2.416059975269568,2.6469905594492385e-59,True
SLC35F1,2.0697390928614245e-195,2.4150720750688484,1.0348695464307123e-191,True
SYN3,3.4685952961560017e-62,2.411875214264232,1.734297648078001e-58,True
TMEM59L,2.9845719269558753e-86,2.409963225681417,1.4922859634779376e-82,True
KIF5C,2.358282063778331e-67,2.4098926348655985,1.1791410318891654e-63,True
EPB41L1,5.745757166126935e-81,2.4095238372110375,2.8728785830634676e-77,True
SEZ6L,4.830624237535652e-123,2.4025310583930066,2.415312118767826e-119,True
DAPK1,7.289611418230171e-72,2.399315087113699,3.6448057091150855e-68,True
MAPK10,1.9194868553322412e-94,2.397421052141472,9.597434276661206e-91,True
COL5A2,6.2405627956667595e-217,2.3928591261353427,3.1202813978333795e-213,True
GUCY1A1,1.615319165620588e-94,2.387093239520566,8.07659582810294e-91,True
TUBB4A,3.0645960142739414e-72,2.3868093207336627,1.5322980071369707e-68,True
RIMS1,6.721757050399859e-82,2.3866411355064554,3.3608785251999295e-78,True
CPE,2.8516284633748137e-106,2.3847894182244924,1.425814231687407e-102,True
AC008415.1,7.312279584601089e-107,2.383140751732337,3.6561397923005447e-103,True
GABRG2,3.6926235390369203e-78,2.3806772262915015,1.84631176951846e-74,True
PLP1,1.6406840212635662e-210,2.379487056149712,8.20342010631783e-207,True
CALY,3.7628519908995507e-75,2.379440426822692,1.8814259954497754e-71,True
HRH1,3.3524681931519385e-84,2.3793099140304927,1.6762340965759693e-80,True
IL1RAPL1,9.382910254040129e-176,2.378703410842085,4.691455127020064e-172,True
NEFM,7.054091444802234e-93,2.3706227046093167,3.527045722401117e-89,True
SRRM3,3.545791508994188e-108,2.367612233836534,1.772895754497094e-104,True
SLC4A8,2.3114371358654873e-114,2.3674364694763543,1.1557185679327437e-110,True
GNG4,4.457540101151911e-109,2.367410183838586,2.2287700505759554e-105,True
AGBL4,9.926462439662616e-128,2.3570753456796907,4.963231219831308e-124,True
ANO6,1.5362115557011055e-60,2.356092322485061,7.681057778505527e-57,True
CNKSR2,2.2864781946644453e-65,2.3555020768887522,1.1432390973322226e-61,True
CNTN1,3.9236746437944604e-109,2.3542919888479314,1.9618373218972302e-105,True
DPYSL5,2.0064912625747023e-83,2.3539097162735034,1.0032456312873511e-79,True
SGSM1,4.000814526562679e-93,2.35352584696619,2.0004072632813394e-89,True
MPZ,2.15255825497252e-200,2.353416978106159,1.07627912748626e-196,True
SULT4A1,2.676383998304517e-85,2.347987767356779,1.3381919991522584e-81,True
TNNT2,1.4636214228638482e-92,2.3432206625342307,7.318107114319241e-89,True
KRT19,8.992177372772721e-80,2.3403602642324204,4.496088686386361e-76,True
GRID1,5.4489966389024664e-77,2.3399950136899554,2.724498319451233e-73,True
NRXN1,1.765043612929116e-164,2.3373035449583397,8.825218064645579e-161,True
PHOX2A,3.120504648987795e-122,2.335309086134268,1.5602523244938976e-118,True
COL4A2,5.046610628807505e-187,2.3315425349639667,2.523305314403753e-183,True
ADGRL2,1.126348080103463e-40,2.32939985514048,5.631740400517315e-37,True
PRKAR2B,9.401806161149607e-74,2.3245093529461416,4.700903080574803e-70,True
TNNC1,1.473935071765103e-99,2.3220185150896513,7.3696753588255145e-96,True
STARD13,1.6957155859245928e-207,2.319779353106343,8.478577929622964e-204,True
PCLO,1.5365543000619024e-97,2.3178276147681465,7.682771500309512e-94,True
TTC9B,7.369669342274884e-105,2.3096649736414907,3.684834671137442e-101,True
ENO2,1.0488960094176649e-105,2.30850572435682,5.2444800470883246e-102,True
SETBP1,6.872904322358546e-75,2.3076437908162553,3.436452161179273e-71,True
AC109466.1,3.3891161202616456e-116,2.3064607479973773,1.6945580601308227e-112,True
SCG2,6.137604260052992e-114,2.305962238503983,3.068802130026496e-110,True
RIMS2,2.3705799415349274e-81,2.305590296984257,1.1852899707674638e-77,True
CNTFR,2.2249377813786315e-111,2.3005273284292,1.1124688906893158e-107,True
AC010478.1,2.853741687990613e-77,2.3003904026593744,1.4268708439953067e-73,True
CDH19,1.2728418486161539e-200,2.298028548582847,6.36420924308077e-197,True
NEDD4L,7.880096223310875e-62,2.297250332672293,3.940048111655438e-58,True
PCSK1N,1.4001523833926009e-196,2.293058370670261,7.000761916963004e-193,True
XKR6,5.7314141244532694e-61,2.2895739505918473,2.8657070622266345e-57,True
ALCAM,1.1496924554309306e-46,2.288090953853681,5.748462277154653e-43,True
CHRM3,2.2013643935380868e-51,2.2846351313123305,1.1006821967690433e-47,True
TUBB2B,3.844618763671072e-105,2.2834800070231425,1.922309381835536e-101,True
SLC38A1,9.55186170145811e-82,2.282172489433233,4.775930850729055e-78,True
ATP8A1,1.373560215774025e-72,2.2820229133490155,6.867801078870125e-69,True
CPNE8,5.390129859702555e-56,2.2815405038101084,2.6950649298512774e-52,True
TBX20,5.9365187186679085e-106,2.281010760377584,2.9682593593339543e-102,True
CD24,2.4647808277986603e-196,2.2750502895512525,1.2323904138993302e-192,True
KCNK12,8.542608673011147e-72,2.274618612824117,4.2713043365055735e-68,True
ELMO1,1.840887394491116e-73,2.271804776626237,9.20443697245558e-70,True
CHRNA3,4.412073152075067e-151,2.2713290806544073,2.2060365760375337e-147,True
METRN,1.8904459869077217e-180,2.2629660749824803,9.452229934538608e-177,True
PTPRZ1,1.3896957788421595e-163,2.261527498139587,6.948478894210798e-160,True
APLP1,1.8728226019264202e-93,2.258840653519576,9.364113009632102e-90,True
TMOD1,1.1510218540482938e-99,2.2581379766158522,5.7551092702414695e-96,True
UNC5C,2.9037264807220365e-98,2.2578935786685452,1.4518632403610183e-94,True
CRACD,1.8445761722511342e-56,2.249970850482283,9.222880861255671e-53,True
TSPAN7,1.1841303250426934e-76,2.2407606383492515,5.920651625213467e-73,True
PTPRR,4.213240838779875e-83,2.2402138522444544,2.1066204193899377e-79,True
BRINP1,6.169264808075973e-69,2.238390369579434,3.0846324040379867e-65,True
UNC79,1.2784252800826811e-76,2.2364057077328936,6.392126400413405e-73,True
UTRN,5.118993519490732e-189,2.236102385056114,2.559496759745366e-185,True
FAM155A,4.395410717453283e-108,2.233778295603021,2.1977053587266413e-104,True
SYP,1.5058658909254477e-74,2.22514955518764,7.529329454627238e-71,True
CA10,9.959497315310493e-56,2.2241170425536634,4.979748657655247e-52,True
JPH4,1.8413632891222516e-85,2.2240190882651314,9.206816445611258e-82,True
LRRTM4,1.0367215116448524e-160,2.223553240939512,5.183607558224262e-157,True
PIRT,1.5250393476549354e-70,2.2182771537681663,7.625196738274677e-67,True
PGM2L1,9.65225093957034e-59,2.217682441997552,4.82612546978517e-55,True
DLG2,5.668700748123595e-83,2.2164665151310214,2.834350374061797e-79,True
ADAM22,9.310657090282664e-70,2.215286405240003,4.6553285451413317e-66,True
MYL3,3.0949837323898074e-82,2.2146996054434407,1.5474918661949038e-78,True
SLC5A7,3.718543350517274e-43,2.208241688134265,1.8592716752586372e-39,True
CHN2,5.145755911332571e-63,2.2072684243618177,2.5728779556662856e-59,True
TENM3,3.1477165807359293e-172,2.206891510785061,1.5738582903679647e-168,True
COL4A1,2.0165297514769103e-173,2.20573573543478,1.0082648757384551e-169,True
RGS7,5.842641496459891e-85,2.203305820423081,2.9213207482299453e-81,True
NUP93,4.559451940056097e-55,2.201408717995434,2.2797259700280483e-51,True
MAPK8IP2,1.6055200797863506e-63,2.1963210327861757,8.027600398931753e-60,True
SYT14,5.042928545534838e-82,2.1928128143182493,2.521464272767419e-78,True
OLFML2A,8.826774396925734e-153,2.1914517823199,4.4133871984628664e-149,True
REEP1,1.6194240915656217e-74,2.1853081893788207,8.097120457828108e-71,True
SOX5,2.4393868132573425e-152,2.1825535986908298,1.2196934066286713e-148,True
TAGLN3,1.4599410684006045e-126,2.1821636032257357,7.299705342003023e-123,True
DPYSL2,2.7983655734850703e-81,2.18055964135087,1.3991827867425351e-77,True
NRSN1,5.365906641083835e-83,2.17700335392253,2.6829533205419174e-79,True
MYL2,4.467204067460098e-77,2.176693771539692,2.2336020337300493e-73,True
LAMA4,1.918510151776277e-166,2.176112028119027,9.592550758881386e-163,True
PLPPR5,3.885573675262605e-88,2.1743525889347826,1.9427868376313025e-84,True
PLEKHA6,2.3870575993040733e-88,2.172440031802733,1.1935287996520367e-84,True
ATXN1,1.711134700557604e-47,2.169838436572379,8.55567350278802e-44,True
APBA1,3.8564247527793606e-39,2.1650898452997906,1.9282123763896802e-35,True
ARPC1B,9.350806680793573e-145,2.164369478448307,4.6754033403967864e-141,True
SCG3,2.4535679055643488e-88,2.159923408517723,1.2267839527821743e-84,True
DNM3,2.56075535490136e-48,2.157822868031873,1.28037767745068e-44,True
SYNPO2,9.783157355737607e-54,2.1564292146399002,4.891578677868804e-50,True
SPARC,6.48044017049249e-170,2.1548910091697833,3.240220085246245e-166,True
TGFBR2,1.06384536574978e-144,2.1548792315969862,5.3192268287489e-141,True
PCBP3,2.2567320599758586e-73,2.152994030896573,1.1283660299879294e-69,True
GRM8,2.053847687822124e-69,2.147530370717135,1.026923843911062e-65,True
ADD2,1.175767653483307e-64,2.1462462399686144,5.878838267416535e-61,True
PTPRN2,4.569822887179234e-64,2.1450453676268086,2.2849114435896172e-60,True
NPPA,4.1276436791360364e-83,2.1447342803297955,2.0638218395680182e-79,True
LAMA2,8.563953011864951e-159,2.14391939315321,4.281976505932476e-155,True
PVT1,3.3187328071950557e-43,2.143288701842751,1.659366403597528e-39,True
GATA2,3.47931517116185e-98,2.139727445607328,1.7396575855809252e-94,True
CDH10,2.8938138709068904e-51,2.1318348864795937,1.446906935453445e-47,True
SMIM28,5.110357677447385e-74,2.1303064921381236,2.5551788387236925e-70,True
NEGR1,1.6296819105251831e-68,2.129331269167882,8.148409552625916e-65,True
COL1A2,1.9461174871740993e-167,2.123170689719041,9.730587435870497e-164,True
EGFL8,7.944946025152312e-149,2.1228510134726473,3.972473012576156e-145,True
CDKN2D,3.564054450355175e-71,2.1225560088588455,1.7820272251775874e-67,True
HEBP2,3.6559441814408634e-90,2.1205094422245545,1.8279720907204318e-86,True
MOXD1,3.447357539269138e-155,2.1185714533148166,1.723678769634569e-151,True
SYT4,6.321740007186263e-70,2.112522219942324,3.160870003593131e-66,True
DGKG,6.952566212849142e-57,2.1098148639796777,3.476283106424571e-53,True
AL139383.1,1.4773971910557857e-144,2.105688920633999,7.386985955278928e-141,True
ACTC1,4.0576898908892453e-63,2.1039061147181597,2.0288449454446227e-59,True
RGS5,1.2316511968664112e-124,2.098934746138701,6.1582559843320555e-121,True
LDLRAD4,2.1881104473243394e-74,2.0929221514003244,1.0940552236621697e-70,True
TAFA2,4.823104032925388e-57,2.0918029636313,2.411552016462694e-53,True
AC097467.3,1.5521458441840876e-54,2.0887248068105846,7.760729220920438e-51,True
WWTR1,1.2517977706597605e-152,2.087325648112015,6.258988853298803e-149,True
ICA1,7.953283760711904e-84,2.0835648983791035,3.976641880355952e-80,True
NCOA7,1.259893032666197e-61,2.0812278033215352,6.299465163330986e-58,True
RGS4,4.393692863226906e-148,2.078008429601892,2.196846431613453e-144,True
CLVS2,4.791389468448333e-55,2.0770952249634704,2.3956947342241667e-51,True
SGIP1,3.173475248962581e-49,2.0745921916415204,1.5867376244812904e-45,True
ENOX1,2.7163673640020275e-37,2.073972587618827,1.3581836820010138e-33,True
KCNN2,8.499117391071236e-61,2.0714166771285076,4.249558695535618e-57,True
FSD1,2.6688029865478698e-79,2.066066150758976,1.3344014932739348e-75,True
ANK3,1.3106257207327393e-44,2.065874014015132,6.553128603663696e-41,True
LY6H,8.301314656839423e-68,2.0649744697761307,4.150657328419711e-64,True
GDAP1L1,1.0997605602764017e-95,2.064017679766661,5.498802801382008e-92,True
PMP22,1.3474302281882777e-121,2.06354911449796,6.737151140941388e-118,True
AKR1C1,8.911090676485e-58,2.063261837473931,4.4555453382425004e-54,True
CNTNAP5,1.7608862037581682e-53,2.0620729476338147,8.804431018790841e-50,True
CAMK2B,7.262323576948353e-58,2.0619491309727707,3.631161788474177e-54,True
ENC1,9.598736596110635e-48,2.061532531157579,4.799368298055317e-44,True
SEMA3B,5.626139180577006e-141,2.0598597606217917,2.813069590288503e-137,True
CADM3,8.452841207491323e-59,2.0596645555864064,4.226420603745662e-55,True
PARD3B,5.369140323926321e-130,2.0590387416162406,2.6845701619631607e-126,True
FXYD1,2.6870825412766277e-130,2.054836243112712,1.343541270638314e-126,True
PTPRJ,3.498986810411723e-129,2.053016958579036,1.7494934052058614e-125,True
ALDH1A1,3.143172323997419e-133,2.0504472758214183,1.5715861619987097e-129,True
ARHGAP15,3.1649507288204943e-136,2.05013317290358,1.5824753644102473e-132,True
DPYD,1.3901393641648475e-88,2.0494299930864903,6.950696820824237e-85,True
MTMR7,3.947302644091117e-63,2.0492297404322715,1.9736513220455587e-59,True
SYT9,1.152204662170298e-61,2.048739947741815,5.7610233108514895e-58,True
PCDH9,6.269607744568467e-108,2.048352039652091,3.1348038722842336e-104,True
ZDHHC2,8.060282163502456e-40,2.0475788218434965,4.030141081751228e-36,True
DUSP26,6.5928339052670555e-81,2.0464314215430663,3.296416952633528e-77,True
PHYHIPL,5.0167009318505426e-70,2.045217616418705,2.5083504659252715e-66,True
GSE1,3.5054179886533575e-73,2.044167877118796,1.7527089943266787e-69,True
KLHL23,7.693623347356319e-56,2.0426239070758796,3.846811673678159e-52,True
PPP2R2B,7.06538237141974e-36,2.0416871412224555,3.53269118570987e-32,True
TLCD3B,3.6544758365236974e-87,2.0351484927453543,1.8272379182618487e-83,True
LAMB1,1.1474984622537383e-137,2.0323607135341533,5.737492311268691e-134,True
NAALADL2,1.0268370837843054e-127,2.0316855945616457,5.1341854189215274e-124,True
SOX10,4.197364127579328e-137,2.0280696907906792,2.098682063789664e-133,True
BEX2,1.4603323970716785e-79,2.0265643628351806,7.301661985358392e-76,True
STXBP1,5.13306461862058e-57,2.0257179290975045,2.56653230931029e-53,True
COL1A1,1.41322029986769e-147,2.024220498493545,7.066101499338449e-144,True
RET,8.333175166349045e-55,2.023600439162728,4.166587583174522e-51,True
FAIM2,1.3178357760571649e-75,2.019840408596622,6.589178880285825e-72,True
NR2F2-AS1,5.3193494637459493e-129,2.017101079654756,2.6596747318729747e-125,True
UNC5B,3.22732338621483e-60,2.0144193917800246,1.613661693107415e-56,True
DUSP4,6.86415610588965e-55,2.0129359950192556,3.432078052944825e-51,True
NECAB1,2.6376598459312004e-51,2.007605205063404,1.3188299229656003e-47,True
BEX1,3.704902516213496e-124,2.0044038134413182,1.852451258106748e-120,True
SCN7A,4.0017830759804336e-115,2.0029776675999065,2.0008915379902168e-111,True
LAMC1,6.609047684820563e-125,2.0024259543458807,3.3045238424102817e-121,True
MYL4,1.9185376100130046e-73,1.9986367686605522,9.592688050065023e-70,True
STMN3,4.652483322431967e-69,1.9958762920882966,2.326241661215983e-65,True
FIGN,1.13888422925669e-115,1.9924195852131619,5.69442114628345e-112,True
MEIS1,1.2697197915257922e-68,1.989489673243809,6.348598957628961e-65,True
BICDL1,1.0313041321517325e-61,1.986310727417934,5.1565206607586624e-58,True
TRPM3,3.744077257869163e-117,1.985548389809745,1.8720386289345813e-113,True
PMEPA1,1.794516427124425e-109,1.9845154793659852,8.972582135622125e-106,True
ATP6V1G2,4.604504861954005e-68,1.9840050910452174,2.3022524309770026e-64,True
HSPA1A,3.709700526169041e-95,1.9829099482177281,1.8548502630845204e-91,True
PODXL2,3.355598273372632e-79,1.980354501843143,1.677799136686316e-75,True
MLLT11,2.961584062026138e-125,1.9757944008772785,1.4807920310130688e-121,True
MIR99AHG,5.674339936272295e-117,1.9755101439020661,2.8371699681361476e-113,True
SEZ6L2,8.292666845471777e-82,1.9750294617079893,4.1463334227358886e-78,True
RAMP1,9.119136542039868e-101,1.9746166961029425,4.559568271019934e-97,True
ACTL6B,6.002527597457775e-69,1.9711638550972688,3.001263798728887e-65,True
TMEM108,1.4927547247336172e-54,1.960131069858809,7.463773623668086e-51,True
PLD5,2.996485545363127e-58,1.9590102668054996,1.4982427726815635e-54,True
DMD,1.1873945286523263e-96,1.9588361005217374,5.936972643261632e-93,True
OAF,2.2594624837684654e-115,1.9581216782734758,1.1297312418842327e-111,True
STOX2,8.874645482218452e-100,1.9548941072491557,4.437322741109226e-96,True
RAB3A,3.006589241090227e-68,1.9533850599738534,1.5032946205451135e-64,True
TNNI1,5.426241837756175e-61,1.9503927384364264,2.7131209188780876e-57,True
POSTN,2.577482654261897e-119,1.9473369048543558,1.2887413271309485e-115,True
KIAA1958,5.919350559328168e-53,1.9439231671012611,2.9596752796640842e-49,True
DOK6,1.137966518787037e-35,1.9435713098823177,5.689832593935185e-32,True
MIR137HG,1.0328890992393952e-58,1.9420475592759614,5.164445496196976e-55,True
DTNA,2.093799658692559e-39,1.9405403637382017,1.0468998293462795e-35,True
GAL,4.910852221702883e-112,1.9398055051651872,2.455426110851442e-108,True
FOXD3,1.8582472235306485e-119,1.9395915270467907,9.291236117653243e-116,True
HSPG2,8.34603186721151e-122,1.9359524927675964,4.173015933605755e-118,True
GFRA3,7.214573330996174e-106,1.933035821574291,3.607286665498087e-102,True
HSPA1B,2.102743482670652e-92,1.9261003613704075,1.0513717413353261e-88,True
RASGRF2,1.9925535164399686e-38,1.9255861521125746,9.962767582199844e-35,True
MIR325HG,4.50492334423395e-53,1.9255756125588763,2.2524616721169752e-49,True
MEF2C,4.2898054175895425e-99,1.925248466407747,2.1449027087947713e-95,True
SEPTIN6,2.629319812803135e-64,1.9236508028785204,1.3146599064015675e-60,True
NR2F2,9.763565552592606e-122,1.9228172058759112,4.881782776296304e-118,True
SNTB1,5.453988525141013e-110,1.920919697328979,2.7269942625705067e-106,True
MIR7-3HG,1.3743211102934422e-57,1.9185578299189896,6.871605551467211e-54,True
MIAT,4.873415904922168e-77,1.9183780098406922,2.4367079524610842e-73,True
