feature,p_val,A,fdr,signi
IGF1R,0.0,0.33555846825105984,0.0,True
NLGN1,0.0,0.33520991867072897,0.0,True
CERS6,0.0,0.333987002715206,0.0,True
PTPRM,0.0,0.3335935465751066,0.0,True
TBC1D4,0.0,0.33319254833245093,0.0,True
CORIN,0.0,0.33219997958287784,0.0,True
TSPAN9,0.0,0.3311555978684035,0.0,True
P4HA1,0.0,0.330576968658862,0.0,True
COL4A5,0.0,0.32960962928230175,0.0,True
L3MBTL4,0.0,0.32871955125832475,0.0,True
EXT1,0.0,0.32825618449886107,0.0,True
PRICKLE1,0.0,0.3277846427371806,0.0,True
CRNDE,1.5109626715368404e-145,0.327578185580651,7.554813357684203e-142,True
PPP1R1A,0.0,0.32686357142801603,0.0,True
ATP2B4,0.0,0.32333356491575893,0.0,True
TNNI3K,0.0,0.3232531361869909,0.0,True
MGAT4C,0.0,0.32238915923153794,0.0,True
KIDINS220,0.0,0.3222348540450345,0.0,True
ANGPT1,0.0,0.321785400080521,0.0,True
XIST,0.0,0.3217265492899545,0.0,True
ISYNA1,6.051606426304416e-57,0.3206341275291964,3.0258032131522083e-53,True
JMJD1C,0.0,0.3195446267758995,0.0,True
MACF1,0.0,0.3180513487580386,0.0,True
CHRM2,0.0,0.3159710843802587,0.0,True
CADPS,0.0,0.3141374354674514,0.0,True
AC138305.1,0.0,0.3115840972623056,0.0,True
RUNX1T1,0.0,0.30906228653654816,0.0,True
RORA,0.0,0.3090482687898308,0.0,True
CPNE5,0.0,0.3079504500211893,0.0,True
JUN,1.2137934136996402e-134,0.3069911108890872,6.068967068498201e-131,True
DKK3,0.0,0.306613039284624,0.0,True
PPARGC1A,0.0,0.30586475892600085,0.0,True
GAB1,0.0,0.30567701542681924,0.0,True
EFNA5,0.0,0.3054738961256691,0.0,True
SEMA5A,0.0,0.3054325552923989,0.0,True
ARID1B,0.0,0.30485967241459355,0.0,True
HMGCS1,7.169311087651882e-246,0.30421621541385024,3.5846555438259413e-242,True
SNHG14,0.0,0.3037495714924383,0.0,True
PLCXD3,0.0,0.30362545967154614,0.0,True
MICAL3,0.0,0.3031428892148655,0.0,True
PLOD2,0.0,0.30217655975315527,0.0,True
BANCR,2.111267848776251e-194,0.3017207197576678,1.0556339243881255e-190,True
FRY,0.0,0.30071571358483107,0.0,True
TLN2,0.0,0.3002200390179469,0.0,True
