feature,module,A,fdr
NFKBIZ,1,0.6665052574971144,8.826953122046636e-07
HOMER1,1,1.064378313527952,2.9552708647852502e-18
HIVEP2,1,1.1502025909824598,1.9533447279177095e-24
GEM,1,1.0884717649110778,1.8966684105749338e-20
LGR4,1,1.13195030214191,3.345584232070176e-23
FBXL14,1,1.1273177785793722,3.2856261774267317e-21
AC022075.1,1,0.7984174691200863,8.031783878892334e-09
DUSP16,1,1.3836763574003972,1.4668424958083896e-36
MORC4,1,1.1886528701325547,2.414975926002944e-28
SNX25,1,0.9654550481000905,3.866628304438268e-15
PDE10A,1,0.9382134658983994,4.244226420651696e-13
NXN,1,1.1587641310435655,3.311203687633515e-24
UBA6-AS1,1,1.0124872556583664,1.945803665360605e-09
GMDS,1,0.9264178388930541,6.4265745373513e-12
PRICKLE1,1,0.8239525052514478,1.847614810622961e-07
COL9A2,2,0.6737959609945114,7.745562228874597e-05
PROS1,2,0.7199263743428781,2.8963682155978353e-08
TGIF1,2,0.9849560682560285,1.1316398295758981e-07
PLCB1,2,1.2316224565254035,5.891637393393312e-30
H2BC5,2,0.8149053892876987,4.614723183454445e-10
MAP2K6,2,0.8857054980914091,5.14759196110866e-10
LINC00511,2,1.3541338176518138,8.392358303179287e-41
PCSK2,2,0.9956817915446918,2.8633849644768766e-17
NKAIN4,2,0.9542371075951219,6.587576242352738e-13
LINC01748,2,1.2113152435683245,1.3738513119953207e-35
AC099792.1,2,1.2541642490987073,6.203407776557572e-39
CNTN4,2,1.3162984350865288,2.102338333172856e-34
MIR4435-2HG,2,0.7460123953725605,6.266897757038681e-10
DOCK10,2,1.2663673484071252,2.3012234199187374e-35
COL25A1,2,1.643897977643383,7.897219076935225e-72
SGCD,2,0.8321364925143635,9.488023873151763e-13
RREB1,2,1.0135703487755687,5.417723006595943e-24
SOX6,2,1.3780970684816722,3.237562626443482e-48
RAD51B,2,1.180377295790434,1.1503276310955229e-26
COX10-AS1,2,0.8236820547685941,9.467219894036007e-10
PLS3,2,1.3085017853846077,2.0096755721979978e-43
TGFB2,2,1.001212162912175,1.1067609397973484e-22
TMEM178A,2,0.6501807139041698,8.585961995594456e-07
ARAP2,2,0.8917879966950932,4.1205481111574554e-17
ADAMTS6,2,0.8395759660852021,2.222349270491234e-12
KIAA1217,2,1.0930414592564146,1.6313158374586755e-27
NRP1,2,0.6857530468275711,8.567367455626545e-07
TNFRSF19,2,1.0337585844046877,5.440669758465596e-23
CDH13,2,0.6971985868811867,6.448688796111264e-08
CHST9,2,0.7027898710941081,6.255724730270955e-07
IL1RAPL2,2,1.2918445798878273,1.2388529943500201e-42
ERBB4,2,1.1002373588616394,2.814306554462569e-23
EFNA5,2,1.231179243008845,5.545946614242172e-29
FZD1,2,0.7370081686910592,2.3737352422323363e-10
CRISPLD1,2,1.071571506684864,8.259400452496631e-25
ADAMTSL1,2,0.9707766095134847,9.303177484707439e-18
PCDH20,2,0.9296709512239165,7.311289394189775e-19
SHISA9,2,0.9489715292172264,2.767449683553328e-11
AC092069.1,2,0.6374811624985006,5.323228081271022e-05
COL11A1,2,1.2093212809383795,2.67394027528846e-35
PTX3,2,0.7900843025973077,3.454338040172376e-13
FRAS1,2,1.2319443781700774,1.0753837649380815e-37
RUNX2,2,0.6322718904092715,3.4777867153439955e-06
PALM2AKAP2,2,1.2418909011456125,1.1461340323702244e-30
ETV6,2,0.6507836957329236,4.358280621745786e-07
HS3ST3A1,2,0.7767713043325515,5.873451480887618e-12
HEYL,2,0.7431821444893635,2.2308980334696204e-10
CCN1,2,1.338771572713694,4.590959411940639e-45
CYTOR,2,0.7311652845914617,1.4042047745167394e-09
FILIP1L,2,1.1272542973289634,4.219338337871186e-28
PLOD2,2,0.7529015287979504,1.7487064853776384e-10
P3H2,2,1.0451921039813057,3.025237335120777e-23
HES1,2,1.0661853134006336,2.2334283372767838e-26
NHSL1,2,0.8556956218504477,1.2762506599739542e-14
LPL,2,0.5787235313541057,4.8343866456354725e-05
PLAT,2,1.7983952242036236,8.057792045318919e-87
SDC2,2,0.6177545197936994,7.197223349618003e-06
GLIS3,2,1.0463151544679472,9.340458278007775e-26
PAPSS2,2,0.6284022701570285,2.2884989025494325e-05
ETS1,2,1.6590887851572838,7.235948838512275e-78
COL2A1,2,1.360758699677247,4.977331495032216e-46
