feature,module,A,fdr
CACNA1D,5,0.42348544805484345,0.0
CADPS,5,0.3141374354674514,0.0
HMGCS1,5,0.30421621541385024,3.5846555438259413e-242
HOMER1,5,0.427802110540083,0.0
ADAMTS19,5,0.3657388868959405,0.0
ELOVL5,5,0.40933246086093455,2.1202958194210277e-196
PDE3A,5,0.3433794380192303,0.0
FOS,5,0.7188456694416412,0.0
JUNB,5,0.5660519711455448,3.4472621152354443e-208
PLCB1,5,0.739094777425955,0.0
ADGRL2,6,0.423414675425518,0.0
RABGAP1L,6,0.5962582081863607,0.0
KCNH7,6,0.7328865916310224,0.0
ANGPT1,6,0.321785400080521,0.0
ZNF385B,6,0.5273990774823996,0.0
MAST4,6,0.48166852031328483,0.0
CPNE5,6,0.3079504500211893,0.0
TRPM3,6,0.3970695295289445,0.0
TBX5,6,0.467592122456565,0.0
RORA,6,0.3090482687898308,0.0
NR2F2-AS1,6,0.3503217405854895,0.0
NPPA,6,1.112914443115066,0.0
PAM,6,1.1578172260334632,0.0
SLIT3,6,0.5498188637344513,0.0
PRKAG2,6,0.5224442370844975,0.0
DKK3,6,0.306613039284624,0.0
ATP2A2,6,0.7330658100188551,0.0
MYH6,6,1.1395686163424794,0.0
B2M,6,0.3760916863311769,0.0
ADAMTS8,6,0.4457035016178983,0.0
SDK1,6,0.4645496881389112,0.0
EXT1,6,0.32825618449886107,0.0
ANKRD1,6,0.5482819015367488,1.7207677155876644e-246
L3MBTL4,6,0.32871955125832475,0.0
