feature,module,A,fdr
ADAMTSL3,5,0.9900778344832909,0.0
CCDC102B,5,0.7452163373337519,0.0
AC011246.1,5,0.3259790623288326,0.0
DOCK10,5,0.3738100094653178,6.779723910604516e-191
GBE1,5,0.556515265195233,5.363155541942498e-31
ST8SIA4,5,0.48302295334779116,0.0
TENM4,5,0.3322417487117768,3.788342689631344e-190
ACSM3,5,0.42917588111298527,0.0
KRT18,5,0.36061842599216143,2.883823321630582e-196
ITGA11,5,0.3340807145708838,0.0
PLA2G5,5,0.6993734627965298,0.0
IGFBP2,5,0.5603150190670648,0.0
ITGA1,5,0.6169181669052578,0.0
PDE10A,5,0.8335555963662827,0.0
CACNA2D1,5,0.6359372354712802,0.0
CCN4,5,0.37709698394181407,0.0
LAMC3,5,0.4212549085312286,0.0
MCAM,5,0.3186867558246777,0.0
CRADD,5,0.5436413840354613,1.5139658992060237e-07
STARD13,5,0.440085144690061,4.436731300726897e-162
CYGB,5,0.3482118816308961,0.0
CECR2,5,0.30593593481984965,1.8029563480518755e-54
KCNMB2,5,0.48363041360086034,0.0
PRLR,5,0.5771304215282929,0.0
PDE7B,5,0.3501237686696874,9.093924965690685e-189
CLCN3P1,5,0.566101479103007,0.0
ENG,5,0.5278225708070171,0.0
LUZP2,5,0.39755973801234734,0.0
LGR4,5,0.5895899384002284,0.0
NEGR1,5,0.7979697800412373,0.0
COL24A1,5,0.7591113948736063,0.0
ARHGAP29,5,0.32446930718345807,0.0
WARS2-AS1,5,0.637308138798615,5.550993558523674e-26
ECM1,5,0.30109048774215746,0.0
DPT,5,0.33735343807006946,0.0
CD34,5,0.6690447797729544,0.0
DISC1,5,0.6633678768675214,3.0210331291869994e-247
COLEC11,5,0.4976803818680633,0.0
NCKAP5,5,0.7831828328350134,0.0
SCN7A,5,1.295239405943556,0.0
MYRIP,5,0.5418187846434864,0.0
CLEC3B,5,0.4827552404142176,0.0
ROBO2,5,1.103220179067816,0.0
CRYBG3,5,0.4998674815658736,0.0
LINC00882,5,0.6158663820160968,0.0
DUBR,5,0.33604979794166595,1.668841667998291e-148
EGFEM1P,5,0.8526572539791732,0.0
SLC4A4,5,0.3151505327554419,0.0
HHIP,5,0.5426668003294862,0.0
GASK1B,5,0.4800863619900394,0.0
C7,5,0.6940986283815074,0.0
EPB41L4A,5,0.4201640136277493,0.0
FGF1,5,0.31416918054052856,4.9758249788789084e-20
GMDS-DT,5,0.3365530156660032,1.8165173845724464e-41
CARMIL1,5,0.5201574384235943,1.0453230206743891e-195
TNFRSF21,5,0.4259133086159075,6.973164974771939e-129
KHDRBS2,5,0.5144570605003287,5.590128259969988e-165
EYS,5,0.36083433805048426,0.0
ADGRB3,5,0.6974717457609831,0.0
COL9A1,5,0.5626125368249583,0.0
COL12A1,5,0.40348505987364003,5.135273689082985e-255
UBE3D,5,0.3101941873575211,3.958428176753004e-23
TARID,5,0.41275688355478674,0.0
TCF21,5,0.79671186892485,0.0
PRKN,5,0.4281436689642401,3.7441338829531714e-165
TRIL,5,0.3098793284079795,0.0
TBX20,5,0.9297924446226573,0.0
ADCY1,5,0.3268809927434657,0.0
NRG1,5,1.0453256052237032,0.0
FREM1,5,0.7428345475964029,0.0
COL15A1,5,0.9368109965937654,0.0
GSN,5,0.3464135101723016,0.0
SFMBT2,5,0.3668472311955554,0.0
FAM13C,5,0.5471521157394312,0.0
TLL2,5,0.45367465565975684,0.0
EBF3,5,0.33263491834552483,0.0
LRRN4CL,5,0.3787313918134888,0.0
ACSS3,5,0.6199930877591948,0.0
LRFN5,5,0.38893182775521473,0.0
IL32,5,0.5310209357318587,0.0
ABCA8,5,1.1904674703482037,0.0
ABCA9-AS1,5,0.3555350051687032,0.0
ABCA9,5,1.084804778860054,0.0
ABCA6,5,0.5798065240965282,0.0
ABCA10,5,0.4305183778991575,0.0
CDH19,5,0.3123555306051784,0.0
TNIK,5,0.5122954810145206,1.6430677046188622e-281
PDZD2,5,0.5600688649383043,0.0
PDE1C,5,0.5570178823827101,0.0
GLIS3,5,1.1357683232381683,0.0
FRMD3,5,0.4285059184505362,5.270176543124779e-266
VASH1,5,0.3131284517804074,0.0
SLC7A2,5,0.3218046168006063,1.5205921119377572e-189
GAS7,5,0.3930826022409163,0.0
COLGALT2,5,0.3130495397374821,7.282280516094819e-90
MIR181A1HG,5,0.4855458249601685,1.524613862149247e-36
SYNPO2,5,0.5299124165239828,0.0
ADAMTS19,5,0.8257810475027404,0.0
AC008591.1,5,0.46199874069355157,0.0
IGFBP3,5,0.4267084892465789,0.0
PDK4,5,0.5779540232996171,1.6310555911039008e-115
TMEM176B,6,0.45286018216170243,9.993712075856295e-33
IGF1,6,0.38319725283502387,0.0
CENPW,6,0.43489060952997516,0.0
KITLG,6,0.3435353143062161,1.513164170061206e-15
